wav,LI-200R relative response
400,0.00E+00
409.3458,13.333333
426.1682,20
451.40186,25
493.45795,30
527.1028,34.166668
569.1589,40
594.3925,46.666668
636.4486,53.333332
661.68225,59.166668
695.3271,65
745.7944,74.166664
796.26166,79.166664
863.5514,83.333336
897.1963,87.5
930.8411,92.5
939.2523,96.666664
964.48596,98.333336
998.13086,95
1107.4767,0.00E+00
