wav,Dome Transmitance
293.16318,0.00E+00
322.06598,0.8456264
328.10495,0.90653443
335.7922,0.9530997
348.42654,0.9709738
373.3876,0.97446984
1816.3967,0.9867913
2124.6655,0.9615021
2406.2063,0.91833293
2602.1663,0.86446995
2712.1663,0.81423813
2836.1074,0.13317978
2902.1382,0.111645155
3053.2188,0.11874893
3256.6228,0.08282459
3425.8723,0.050502084
3521.8933,0.036129996
3705.2654,0.04681799
3970.7083,0.050314058
4314.192,0.025118837
4538.5073,0.003548954
