wav,reflectivity sensor
250,3.204301
269.9367,3.032258
287.02533,2.8709676
306.96204,2.6989248
326.89874,2.4946237
338.29114,2.4086022
375.31647,2.4086022
395.25317,2.3333333
429.4304,2.3225806
477.8481,2.2903225
551.89874,2.2795699
625.94934,2.2903225
682.9114,2.3010752
708.5443,2.3225806
776.89874,2.311828
805.37976,2.3655913
848.10126,2.344086
899.36707,2.3763442
944.9367,2.3763442
1010.44305,2.4086022
1064.557,2.4408603
1110.1266,2.4731183
1144.3038,2.516129
1175.6329,2.516129
1232.595,2.5376344
1275.3164,2.5698924
1320.8861,2.5913978
1366.4557,2.6451614
1423.4177,2.7096775
1463.2911,2.7849462
1500.3164,2.8387096
1565.8228,2.8709676
1631.3291,2.8924732
1679.7468,2.935484
1753.7975,2.9892473
1816.4557,3.0537634
1864.8734,3.032258
1916.1393,3.3225806
1961.7089,3.3225806
2018.6709,3.3010752
2067.0886,3.3333333
2121.2026,3.3655913
2198.1013,3.311828
2243.671,3.2365592
2257.9114,3.3655913
2317.7214,3.5698924
2366.1392,3.451613
2400.3164,3.5053763
2428.7974,3.548387
2471.519,3.655914
2488.6077,3.655914
